,average_price_per_area,price,area,bedrooms,airconditioning,bathrooms,guestroom,prefarea,furnishingstatus
0,270.39555006180467,3500000,12944,3,0,1,0,0,0
1,318.1818181818182,2450000,7700,2,0,1,0,0,0
2,350.0,3150000,9000,3,0,1,0,0,1
3,368.42105263157896,3500000,9500,3,0,1,0,1,0
4,373.04347826086956,3003000,8050,2,0,1,0,0,0
5,379.84496124031006,4900000,12900,3,0,1,0,0,0
6,380.96153846153845,5943000,15600,3,1,1,0,0,1
7,381.1111111111111,3087000,8100,2,0,1,0,0,0
8,401.47058823529414,2730000,6800,2,0,1,0,0,0
9,415.5405405405405,4305000,10360,2,0,1,0,1,1
10,444.44444444444446,2940000,6615,3,0,1,0,0,1
11,447.85276073619633,5110000,11410,2,0,1,0,1,0
12,450.0,3780000,8400,2,0,1,0,0,0
13,454.54545454545456,1750000,3850,3,0,1,0,0,0
14,457.3333333333333,3773000,8250,3,0,1,0,0,0
15,457.9107505070994,4515000,9860,3,0,1,0,0,1
16,464.84375,4760000,10240,2,1,1,0,1,0
17,466.6666666666667,3150000,6750,2,0,1,0,0,1
18,471.02803738317755,5040000,10700,3,0,1,1,0,1
19,476.1904761904762,3500000,7350,2,0,1,0,0,1
20,478.3333333333333,2870000,6000,2,0,1,0,0,1
21,483.42541436464086,1750000,3620,2,0,1,0,0,0
22,485.1485148514852,3920000,8080,3,1,1,0,0,1
23,485.15568428674874,4690000,9667,4,0,2,1,0,1
24,502.56410256410254,2940000,5850,3,0,1,0,0,0
25,506.198347107438,2450000,4840,2,0,1,0,0,0
26,508.24242424242425,4193000,8250,3,0,1,0,0,1
27,511.2474437627812,5250000,10269,3,0,1,0,1,1
28,512.478184991274,5873000,11460,3,0,1,0,1,1
29,517.9501233214579,1890000,3649,2,0,1,0,0,0
30,519.3104953087498,4760000,9166,2,1,1,0,0,1
31,525.0,6930000,13200,2,0,1,0,0,0
32,531.4814814814815,2870000,5400,4,0,1,0,0,0
33,533.3333333333334,5600000,10500,2,0,1,0,0,1
34,533.3333333333334,5600000,10500,4,0,2,0,0,1
35,535.7142857142857,5250000,9800,4,0,2,1,0,1
36,538.3109619686801,3850000,7152,3,1,1,0,0,0
37,539.9449035812672,3920000,7260,3,0,2,1,0,0
38,541.6666666666666,4550000,8400,4,0,1,0,0,0
39,542.9042904290429,3290000,6060,3,0,1,1,0,0
40,543.030303030303,4480000,8250,3,0,1,0,0,0
41,548.5576923076923,2852500,5200,4,0,1,0,0,0
42,549.5495495495495,4270000,7770,2,0,1,0,0,0
43,559.5238095238095,3290000,5880,3,0,1,0,0,0
44,561.6211745244003,6790000,12090,4,0,2,0,1,0
45,564.7727272727273,2485000,4400,3,0,1,0,0,0
46,569.4267515923567,3129000,5495,3,0,1,0,0,0
47,573.0478589420655,2275000,3970,3,0,1,0,0,0
48,588.6363636363636,2590000,4400,2,0,1,0,0,0
49,591.9753086419753,4795000,8100,4,1,1,0,0,1
50,592.741935483871,2940000,4960,2,0,1,0,0,0
51,593.2203389830509,3500000,5900,2,0,1,0,0,0
52,595.2380952380952,3500000,5880,2,0,1,0,0,0
53,600.0,4200000,7000,3,0,1,0,0,0
54,606.6666666666666,1820000,3000,2,0,1,0,0,0
55,610.738255033557,3640000,5960,3,0,1,1,0,0
56,614.1104294478528,5005000,8150,3,0,2,1,0,1
57,616.1971830985915,5250000,8520,3,1,1,0,0,0
58,616.2790697674419,3710000,6020,3,0,1,0,0,1
59,620.9677419354839,3080000,4960,2,1,1,0,0,0
60,625.0,5250000,8400,3,1,1,1,1,0
61,625.0,2100000,3360,2,0,1,0,0,0
62,626.3982102908277,7000000,11175,3,1,1,0,1,0
63,626.5432098765432,10150000,16200,5,0,3,0,0,0
64,630.0,6615000,10500,3,1,2,0,1,0
65,632.3284823284823,6083000,9620,3,0,1,0,1,0
66,636.8421052631579,4235000,6650,3,0,1,1,0,1
67,641.8706293706293,7343000,11440,4,0,1,0,1,1
68,644.2307692307693,2345000,3640,2,0,1,0,0,0
69,644.7368421052631,5145000,7980,3,0,1,0,1,1
70,646.6302367941712,4970000,7686,3,0,1,1,0,1
71,648.3704974271012,3780000,5830,2,0,1,0,0,0
72,651.3157894736842,3465000,5320,2,0,1,0,1,0
73,654.3478260869565,3010000,4600,2,0,1,0,0,0
74,663.1578947368421,5040000,7600,4,1,1,0,0,0
75,663.25,2653000,4000,3,1,1,0,0,0
76,665.0,2660000,4000,3,0,1,0,0,1
77,671.3836477987421,4270000,6360,2,0,1,0,0,0
78,672.8682170542636,4340000,6450,4,0,1,0,0,1
79,673.75,2695000,4000,2,0,1,0,0,0
80,676.1565836298932,2660000,3934,2,0,1,0,0,0
81,679.4495412844037,3703000,5450,2,0,1,0,0,0
82,680.3630363036303,4123000,6060,2,0,1,0,0,1
83,682.0512820512821,5320000,7800,3,1,1,0,1,0
84,682.5,2730000,4000,3,0,1,0,0,0
85,684.4444444444445,3080000,4500,2,0,1,0,0,1
86,685.0,4795000,7000,3,0,1,0,0,0
